coddoc,edad,estciv,educacion,mora,balance,vivienda,prestamo,dia,duracion,campana,pdias,previo,Adq_Ahorro,contactado,edadacotado,balanceacotado,balanceclase,duracionacotado,campanaacotado
CODDOC0053,38,2,2,0,50,0,0,29,98,2,-1,0,0,0,38,50,1,98,2
CODDOC0054,34,1,3,0,1539,1,0,15,441,1,56,1,1,1,34,1539,1,441,1
CODDOC0055,53,1,2,0,2231,1,0,14,272,3,-1,0,0,0,53,2231,1,272,3
CODDOC0056,48,1,2,0,3064,1,0,15,159,2,-1,0,0,0,48,3064,1,159,2
CODDOC0059,36,2,2,0,101,1,1,26,314,1,-1,0,0,0,36,101,1,314,1
CODDOC0060,54,0,2,0,784,1,1,15,579,1,-1,0,0,0,54,784,1,500,1
CODDOC0066,51,0,2,0,203,1,0,8,134,1,170,5,0,1,51,203,1,134,1
CODDOC0068,29,1,2,0,444,1,0,21,130,4,-1,0,0,0,29,444,1,130,4
CODDOC0070,32,2,3,0,360,0,0,19,164,2,-1,0,0,0,32,360,1,164,2
CODDOC0071,37,1,3,0,0,0,0,16,268,2,182,3,1,1,37,0,1,268,2
CODDOC0074,41,1,3,0,412,1,0,3,154,5,-1,0,0,0,41,412,1,154,5
CODDOC0075,56,1,2,0,344,1,0,15,221,1,-1,0,0,0,56,344,1,221,1
CODDOC0077,41,0,2,0,174,1,0,14,367,2,297,1,0,1,41,174,1,367,2
CODDOC0079,50,0,1,0,388,0,0,5,701,1,-1,0,0,0,50,388,1,500,1
CODDOC0081,27,0,2,0,451,1,0,16,652,1,-1,0,1,0,27,451,1,500,1
CODDOC0082,60,1,1,0,5,0,0,26,63,2,-1,0,0,0,60,5,1,63,2
CODDOC0083,28,2,2,0,177,1,1,6,150,1,-1,0,0,0,28,177,1,150,1
CODDOC0087,41,2,2,0,879,0,1,7,60,4,-1,0,0,0,41,879,1,60,4
CODDOC0089,38,1,2,0,424,1,0,17,279,1,-1,0,0,0,38,424,1,279,1
CODDOC0090,34,1,2,0,1831,1,0,20,203,2,-1,0,0,0,34,1831,1,203,2
CODDOC0092,34,1,1,0,455,1,0,20,372,3,-1,0,0,0,34,455,1,372,3
CODDOC0093,27,2,2,0,-195,1,0,18,391,1,-1,0,1,0,27,-195,1,391,1
CODDOC0094,32,2,3,0,3616,0,0,14,165,2,-1,0,0,0,32,3616,1,165,2
CODDOC0095,57,1,2,0,14093,0,0,11,231,5,-1,0,0,0,57,4000,1,231,5
CODDOC0096,41,2,3,0,1567,0,0,1,291,2,-1,0,0,0,41,1567,1,291,2
CODDOC0099,36,0,2,0,2843,0,0,12,473,1,182,1,0,1,36,2843,1,473,1
CODDOC0100,31,2,1,0,406,0,0,4,736,1,-1,0,1,0,31,406,1,500,1
CODDOC0101,36,1,2,0,0,1,0,6,337,1,-1,0,0,0,36,0,1,337,1
CODDOC0102,38,2,3,0,493,1,0,11,553,1,367,7,0,1,38,493,1,500,1
CODDOC0103,49,1,2,0,5996,0,0,21,345,2,-1,0,0,0,49,4000,1,345,2
CODDOC0104,57,2,1,0,3777,1,0,13,65,2,-1,0,0,0,57,3777,1,65,2
CODDOC0106,32,2,3,0,574,1,0,14,259,2,145,3,0,1,32,574,1,259,2
CODDOC0107,37,1,2,0,427,1,1,9,371,3,-1,0,0,0,37,427,1,371,3
CODDOC0108,33,1,3,0,483,1,0,3,280,2,-1,0,0,0,33,483,1,280,2
CODDOC0110,27,1,1,0,0,1,0,23,435,3,-1,0,0,0,27,0,1,435,3
CODDOC0115,25,2,2,0,331,0,0,26,170,4,-1,0,1,0,25,331,1,170,4
CODDOC0116,25,2,2,0,505,0,1,17,386,2,-1,0,1,0,25,505,1,386,2
CODDOC0117,30,1,2,0,1808,1,0,18,83,2,-1,0,0,0,30,1808,1,83,2
CODDOC0119,39,1,1,0,52,0,0,13,69,1,-1,0,0,0,39,52,1,69,1
CODDOC0121,31,0,2,0,1890,1,0,21,588,1,-1,0,0,0,31,1890,1,500,1
CODDOC0122,45,1,1,0,419,0,0,18,113,4,-1,0,0,0,45,419,1,113,4
CODDOC0124,36,1,2,0,-231,0,1,15,779,2,-1,0,0,0,36,-231,1,500,2
CODDOC0125,51,2,3,1,-55,1,0,11,281,2,266,6,0,1,51,-55,1,281,2
CODDOC0127,24,2,2,0,119,0,0,15,51,1,-1,0,0,0,24,119,1,51,1
CODDOC0132,37,1,1,0,0,1,0,26,24,1,-1,0,0,0,37,0,1,24,1
CODDOC0134,48,1,0,0,0,1,0,8,85,1,168,2,0,1,48,0,1,85,1
CODDOC0136,33,2,3,0,0,0,0,28,236,10,-1,0,0,0,33,0,1,236,6
CODDOC0138,34,2,3,0,0,0,0,5,71,1,-1,0,0,0,34,0,1,71,1
CODDOC0139,52,1,3,0,-970,1,0,4,489,1,-1,0,1,0,52,-970,1,489,1
CODDOC0141,32,0,3,0,948,0,0,12,204,2,-1,0,0,0,32,948,1,204,2
CODDOC0142,32,2,3,0,0,1,0,22,455,2,-1,0,0,0,32,0,1,455,2
CODDOC0144,31,2,3,0,874,1,0,18,190,2,-1,0,0,0,31,874,1,190,2
CODDOC0148,48,1,2,0,1152,1,0,21,168,5,-1,0,0,0,48,1152,1,168,5
CODDOC0149,46,1,2,0,179,1,0,29,194,4,436,1,0,1,46,179,1,194,4
CODDOC0151,41,1,0,0,89,1,0,6,333,2,-1,0,0,0,41,89,1,333,2
CODDOC0158,55,1,2,0,273,1,0,29,84,3,183,3,0,1,55,273,1,84,3
CODDOC0159,27,2,2,0,50,0,0,29,168,1,-1,0,0,0,27,50,1,168,1
CODDOC0161,34,1,3,0,20,0,0,4,10,1,-1,0,0,0,34,20,1,10,1
CODDOC0165,28,2,3,0,80,0,0,20,676,2,146,2,1,1,28,80,1,500,2
CODDOC0166,31,2,2,0,2104,1,0,3,455,1,-1,0,0,0,31,2104,1,455,1
CODDOC0167,78,1,2,0,499,0,0,16,80,4,-1,0,0,0,65,499,1,80,4
CODDOC0168,45,0,2,0,1269,1,0,29,549,2,-1,0,0,0,45,1269,1,500,2
CODDOC0170,32,2,2,0,1143,1,1,10,412,1,-1,0,0,0,32,1143,1,412,1
CODDOC0171,42,1,2,0,2980,0,0,20,101,3,-1,0,0,0,42,2980,1,101,3
CODDOC0173,40,2,2,0,462,1,1,6,272,1,335,4,0,1,40,462,1,272,1
CODDOC0174,32,1,2,0,1031,1,0,17,84,1,-1,0,0,0,32,1031,1,84,1
CODDOC0175,42,1,3,0,9009,0,0,20,135,2,-1,0,0,0,42,4000,1,135,2
CODDOC0178,37,1,2,0,176,1,0,5,147,2,347,1,0,1,37,176,1,147,2
CODDOC0180,37,1,3,0,0,1,0,17,65,2,119,1,0,1,37,0,1,65,2
CODDOC0181,28,2,3,0,172,1,1,2,194,2,-1,0,0,0,28,172,1,194,2
CODDOC0182,32,2,2,0,0,0,1,11,333,2,-1,0,0,0,32,0,1,333,2
CODDOC0184,40,0,2,0,6,0,0,11,140,1,-1,0,0,0,40,6,1,140,1
CODDOC0185,34,1,2,0,-62,1,0,16,109,3,-1,0,0,0,34,-62,1,109,3
CODDOC0186,34,1,3,0,1972,1,0,23,61,2,-1,0,0,0,34,1972,1,61,2
CODDOC0188,37,2,2,0,21,1,0,2,96,1,271,2,0,1,37,21,1,96,1
CODDOC0190,56,1,2,0,-1206,1,0,15,382,2,-1,0,1,0,56,-1000,1,382,2
CODDOC0193,30,2,3,0,1372,0,0,20,240,2,-1,0,0,0,30,1372,1,240,2
CODDOC0197,27,2,2,0,5563,1,0,30,435,2,-1,0,0,0,27,4000,1,435,2
CODDOC0201,34,2,3,0,992,1,0,4,301,1,88,2,0,1,34,992,1,301,1
CODDOC0205,29,2,3,0,455,0,0,21,403,1,-1,0,1,0,29,455,1,403,1
CODDOC0207,42,1,2,0,2030,1,1,9,196,1,-1,0,0,0,42,2030,1,196,1
CODDOC0211,36,2,2,0,9149,1,0,13,141,3,-1,0,0,0,36,4000,1,141,3
CODDOC0212,25,2,2,0,-350,1,0,23,95,3,-1,0,0,0,25,-350,1,95,3
CODDOC0213,38,1,3,0,432,1,0,15,10,2,373,1,0,1,38,432,1,10,2
CODDOC0219,49,1,1,0,305,1,1,10,834,10,-1,0,0,0,49,305,1,500,6
CODDOC0220,49,1,2,0,400,0,0,21,151,3,-1,0,0,0,49,400,1,151,3
CODDOC0222,37,1,2,0,4030,1,0,26,178,5,-1,0,0,0,37,4000,1,178,5
CODDOC0225,54,1,1,0,1691,1,0,20,186,1,-1,0,0,0,54,1691,1,186,1
CODDOC0230,35,1,3,0,0,1,1,23,112,1,62,6,0,1,35,0,1,112,1
CODDOC0231,52,1,2,0,142,0,0,25,112,6,-1,0,0,0,52,142,1,112,6
CODDOC0232,40,1,3,0,3571,0,0,9,222,3,-1,0,0,0,40,3571,1,222,3
CODDOC0233,44,2,2,0,33,1,0,13,195,3,351,10,0,1,44,33,1,195,3
CODDOC0235,30,2,2,0,3096,0,0,26,123,1,-1,0,0,0,30,3096,1,123,1
CODDOC0237,33,1,2,0,3576,1,0,2,124,1,308,2,0,1,33,3576,1,124,1
CODDOC0239,57,1,1,0,7082,0,0,6,69,3,-1,0,0,0,57,4000,1,69,3
CODDOC0240,51,1,3,0,1634,1,0,22,168,4,-1,0,0,0,51,1634,1,168,4
CODDOC0243,44,1,3,0,3762,0,0,28,125,12,-1,0,0,0,44,3762,1,125,6
CODDOC0245,50,1,2,0,606,1,0,14,673,2,-1,0,0,0,50,606,1,500,2
CODDOC0246,36,1,3,0,0,1,0,28,60,1,250,1,0,1,36,0,1,60,1
CODDOC0247,42,1,2,0,-189,1,0,12,247,2,-1,0,0,0,42,-189,1,247,2
CODDOC0248,32,2,2,0,0,0,0,27,123,2,-1,0,0,0,32,0,1,123,2
CODDOC0249,42,1,3,0,484,1,0,11,144,2,-1,0,0,0,42,484,1,144,2
CODDOC0253,55,0,1,0,410,0,1,11,221,2,-1,0,0,0,55,410,1,221,2
CODDOC0256,55,1,2,0,989,1,1,23,246,4,-1,0,0,0,55,989,1,246,4
CODDOC0257,34,1,3,0,415,0,1,23,361,2,-1,0,0,0,34,415,1,361,2
CODDOC0258,28,2,2,0,16,0,0,12,119,4,-1,0,0,0,28,16,1,119,4
CODDOC0259,42,0,3,0,7190,1,0,29,375,2,-1,0,0,0,42,4000,1,375,2
CODDOC0260,29,2,2,0,482,0,1,10,1097,3,-1,0,1,0,29,482,1,500,3
CODDOC0261,54,1,2,0,209,1,1,25,97,1,-1,0,0,0,54,209,1,97,1
CODDOC0263,39,2,3,0,5803,0,0,2,83,3,-1,0,0,0,39,4000,1,83,3
CODDOC0264,53,1,3,0,624,0,1,21,180,4,-1,0,0,0,53,624,1,180,4
CODDOC0265,58,1,3,0,883,0,0,18,543,1,78,2,0,1,58,883,1,500,1
CODDOC0268,33,1,3,0,-988,1,1,15,83,3,-1,0,0,0,33,-988,1,83,3
CODDOC0270,56,0,2,0,1007,0,0,29,88,6,-1,0,0,0,56,1007,1,88,6
CODDOC0271,40,1,2,0,0,1,0,2,297,1,28,3,0,1,40,0,1,297,1
CODDOC0272,24,2,2,0,174,1,1,18,487,1,-1,0,1,0,24,174,1,487,1
CODDOC0273,46,1,2,0,12186,0,0,20,29,3,-1,0,0,0,46,4000,1,29,3
CODDOC0275,35,2,3,0,0,1,0,21,262,4,-1,0,0,0,35,0,1,262,4
CODDOC0276,34,1,2,0,4,1,0,15,644,1,-1,0,0,0,34,4,1,500,1
CODDOC0277,35,1,3,0,11219,0,0,12,699,2,79,1,0,1,35,4000,1,500,2
CODDOC0282,32,1,2,0,1148,1,0,20,121,1,-1,0,0,0,32,1148,1,121,1
CODDOC0284,42,0,2,0,63,0,0,16,88,6,-1,0,0,0,42,63,1,88,6
CODDOC0288,27,1,2,0,-220,1,0,26,138,2,-1,0,0,0,27,-220,1,138,2
CODDOC0290,34,1,3,0,69,0,1,4,120,3,1,6,1,1,34,69,1,120,3
CODDOC0291,50,1,1,0,4108,1,0,7,526,2,-1,0,1,0,50,4000,1,500,2
CODDOC0292,47,1,2,0,480,1,0,28,211,2,-1,0,0,0,47,480,1,211,2
CODDOC0293,53,1,2,0,4994,0,0,18,62,6,-1,0,0,0,53,4000,1,62,6
CODDOC0296,49,0,0,1,-701,1,0,30,988,2,-1,0,1,0,49,-701,1,500,2
CODDOC0297,29,1,3,0,451,0,0,28,451,1,-1,0,0,0,29,451,1,451,1
CODDOC0298,45,0,1,0,-311,1,0,23,1030,1,-1,0,1,0,45,-311,1,500,1
CODDOC0302,65,0,1,0,1840,0,0,1,383,2,188,5,0,1,65,1840,1,383,2
CODDOC0303,56,1,2,0,345,1,0,22,605,1,-1,0,0,0,56,345,1,500,1
CODDOC0308,38,1,1,0,1147,1,1,8,249,5,-1,0,0,0,38,1147,1,249,5
CODDOC0311,49,1,2,0,8545,1,1,6,199,7,167,1,0,1,49,4000,1,199,6
CODDOC0312,55,1,0,0,559,0,0,28,271,2,-1,0,0,0,55,559,1,271,2
CODDOC0315,25,2,3,0,760,1,0,27,223,3,89,2,1,1,25,760,1,223,3
CODDOC0316,30,1,1,0,1317,1,0,21,395,2,-1,0,0,0,30,1317,1,395,2
CODDOC0321,45,1,0,0,1783,0,0,20,11,11,-1,0,0,0,45,1783,1,11,6
CODDOC0323,60,2,3,0,179,0,1,29,79,4,-1,0,0,0,60,179,1,79,4
CODDOC0324,38,1,3,0,1199,0,0,4,178,1,1,1,1,1,38,1199,1,178,1
CODDOC0329,35,1,2,0,978,0,0,29,1370,3,209,3,1,1,35,978,1,500,3
CODDOC0330,48,2,2,0,1150,1,0,28,357,1,-1,0,0,0,48,1150,1,357,1
CODDOC0331,37,1,2,0,121,0,0,22,22,6,-1,0,0,0,37,121,1,22,6
CODDOC0332,29,2,3,0,828,1,0,16,215,3,321,3,0,1,29,828,1,215,3
CODDOC0333,34,1,2,0,244,1,0,31,56,4,-1,0,0,0,34,244,1,56,4
CODDOC0336,47,0,3,0,447,0,1,7,126,1,-1,0,0,0,47,447,1,126,1
CODDOC0338,33,2,3,0,1410,1,0,5,8,1,254,5,0,1,33,1410,1,8,1
CODDOC0340,51,0,1,0,10924,0,0,6,106,2,-1,0,0,0,51,4000,1,106,2
CODDOC0341,41,1,3,0,832,1,1,21,164,1,176,1,0,1,41,832,1,164,1
CODDOC0343,60,2,3,0,0,0,1,23,151,1,-1,0,0,0,60,0,1,151,1
CODDOC0344,41,2,3,0,3950,1,0,30,96,2,-1,0,0,0,41,3950,1,96,2
CODDOC0346,36,2,2,0,219,1,1,11,270,2,347,1,0,1,36,219,1,270,2
CODDOC0348,55,1,1,0,2587,0,0,4,328,2,94,2,1,1,55,2587,1,328,2
CODDOC0349,44,1,2,0,0,1,1,16,159,1,-1,0,0,0,44,0,1,159,1
CODDOC0350,47,1,3,0,2303,1,0,6,323,2,364,1,0,1,47,2303,1,323,2
CODDOC0353,39,1,3,0,278,0,1,28,60,3,-1,0,0,0,39,278,1,60,3
CODDOC0358,27,2,0,0,3196,0,0,9,10,2,-1,0,0,0,27,3196,1,10,2
CODDOC0360,26,2,2,0,2572,1,0,5,620,1,-1,0,0,0,26,2572,1,500,1
CODDOC0364,49,1,2,0,2039,1,0,18,283,2,-1,0,0,0,49,2039,1,283,2
CODDOC0365,45,1,3,0,5450,0,0,8,188,2,-1,0,0,0,45,4000,1,188,2
CODDOC0368,32,2,3,0,8436,1,0,17,245,1,149,2,0,1,32,4000,1,245,1
CODDOC0369,60,2,1,0,11262,0,0,26,323,1,-1,0,1,0,60,4000,1,323,1
CODDOC0373,38,1,2,0,-140,0,0,25,456,3,-1,0,0,0,38,-140,1,456,3
CODDOC0374,51,1,2,0,-379,1,0,5,261,1,-1,0,0,0,51,-379,1,261,1
CODDOC0376,30,2,2,0,0,1,0,18,131,6,363,9,0,1,30,0,1,131,6
CODDOC0377,40,1,1,0,733,1,0,6,94,7,-1,0,0,0,40,733,1,94,6
CODDOC0378,37,1,3,0,393,1,0,14,567,3,275,4,1,1,37,393,1,500,3
CODDOC0379,53,0,1,0,7290,1,0,30,153,1,-1,0,0,0,53,4000,1,153,1
CODDOC0380,27,2,2,0,468,1,0,13,109,1,-1,0,0,0,27,468,1,109,1
CODDOC0381,39,1,2,0,0,1,0,30,53,1,325,1,0,1,39,0,1,53,1
CODDOC0383,59,1,3,0,9676,0,0,27,234,2,-1,0,1,0,59,4000,1,234,2
CODDOC0385,41,1,1,0,8,1,0,15,155,2,-1,0,0,0,41,8,1,155,2
CODDOC0386,45,1,1,0,61,0,0,17,108,1,-1,0,0,0,45,61,1,108,1
CODDOC0387,48,1,3,0,6613,0,0,17,159,3,-1,0,0,0,48,4000,1,159,3
CODDOC0393,64,1,0,0,2923,0,0,12,120,1,-1,0,0,0,64,2923,1,120,1
CODDOC0396,41,1,2,0,288,1,0,15,221,4,-1,0,0,0,41,288,1,221,4
CODDOC0397,34,1,2,0,613,1,0,4,80,1,-1,0,0,0,34,613,1,80,1
CODDOC0400,39,1,1,0,7685,1,0,14,493,3,-1,0,0,0,39,4000,1,493,3
CODDOC0404,48,1,1,1,-285,0,1,19,157,1,-1,0,0,0,48,-285,1,157,1
CODDOC0406,45,1,2,0,3098,1,0,7,159,2,-1,0,0,0,45,3098,1,159,2
CODDOC0408,39,1,2,0,130,0,0,8,202,2,-1,0,0,0,39,130,1,202,2
CODDOC0410,54,1,2,0,0,0,0,28,161,1,98,2,1,1,54,0,1,161,1
CODDOC0412,34,2,2,0,186,0,0,2,342,1,-1,0,0,0,34,186,1,342,1
CODDOC0416,49,0,3,0,755,0,0,31,1212,4,-1,0,1,0,49,755,1,500,4
CODDOC0417,31,2,2,0,2070,0,0,29,319,2,-1,0,0,0,31,2070,1,319,2
CODDOC0422,37,1,3,0,502,1,0,7,551,1,351,1,0,1,37,502,1,500,1
CODDOC0425,36,2,2,0,342,1,0,7,142,1,-1,0,0,0,36,342,1,142,1
CODDOC0426,29,2,1,0,950,1,0,4,135,3,-1,0,0,0,29,950,1,135,3
CODDOC0428,26,1,3,0,3825,1,0,13,107,1,-1,0,0,0,26,3825,1,107,1
CODDOC0431,53,1,1,0,995,0,0,4,200,3,-1,0,0,0,53,995,1,200,3
CODDOC0439,36,1,2,0,644,1,0,18,54,2,-1,0,0,0,36,644,1,54,2
CODDOC0440,44,1,3,0,22,1,0,6,265,2,-1,0,0,0,44,22,1,265,2
CODDOC0442,30,2,2,0,239,1,0,7,115,3,-1,0,0,0,30,239,1,115,3
CODDOC0443,42,2,2,0,275,0,0,26,31,8,-1,0,0,0,42,275,1,31,6
CODDOC0444,30,1,3,0,1221,1,0,25,279,4,-1,0,1,0,30,1221,1,279,4
CODDOC0445,62,1,2,0,816,0,0,1,28,2,-1,0,0,0,62,816,1,28,2
CODDOC0449,47,1,2,0,2,0,0,10,89,1,-1,0,0,0,47,2,1,89,1
CODDOC0450,39,1,3,0,2,1,0,17,180,1,-1,0,0,0,39,2,1,180,1
CODDOC0453,27,1,2,0,1577,1,1,28,266,2,-1,0,0,0,27,1577,1,266,2
CODDOC0454,32,1,2,0,34,1,0,5,321,2,-1,0,0,0,32,34,1,321,2
CODDOC0455,44,1,3,0,795,0,0,28,99,24,-1,0,0,0,44,795,1,99,6
CODDOC0456,42,1,2,0,117,1,0,9,147,1,-1,0,0,0,42,117,1,147,1
CODDOC0457,34,2,3,0,5462,0,0,30,430,1,-1,0,1,0,34,4000,1,430,1
CODDOC0458,25,2,2,0,402,0,1,7,264,1,-1,0,0,0,25,402,1,264,1
CODDOC0463,45,0,3,0,0,0,0,1,5,1,-1,0,0,0,45,0,1,5,1
CODDOC0464,35,0,2,0,3102,1,0,20,138,1,-1,0,0,0,35,3102,1,138,1
CODDOC0467,34,1,2,0,-370,1,0,21,748,1,-1,0,0,0,34,-370,1,500,1
CODDOC0468,39,1,3,0,-606,1,0,26,142,1,-1,0,0,0,39,-606,1,142,1
CODDOC0469,40,2,2,0,10378,1,0,17,523,3,-1,0,0,0,40,4000,1,500,3
CODDOC0470,36,2,1,0,1313,1,0,20,8,10,-1,0,0,0,36,1313,1,8,6
CODDOC0471,40,1,3,0,8969,1,0,17,153,1,-1,0,0,0,40,4000,1,153,1
CODDOC0472,55,1,2,0,-196,1,0,20,210,2,-1,0,0,0,55,-196,1,210,2
CODDOC0475,41,1,3,0,666,1,0,21,253,3,-1,0,0,0,41,666,1,253,3
CODDOC0476,57,1,1,0,452,1,0,13,139,4,-1,0,0,0,57,452,1,139,4
CODDOC0477,48,1,2,0,149,1,0,9,71,1,-1,0,0,0,48,149,1,71,1
CODDOC0479,35,1,2,0,1453,1,0,28,199,1,-1,0,0,0,35,1453,1,199,1
CODDOC0482,56,2,2,0,237,1,0,9,236,4,-1,0,0,0,56,237,1,236,4
CODDOC0488,52,1,1,0,779,1,0,16,30,3,-1,0,0,0,52,779,1,30,3
CODDOC0489,55,2,1,0,1187,1,0,2,193,2,-1,0,0,0,55,1187,1,193,2
CODDOC0490,33,1,3,0,641,1,0,13,347,2,-1,0,0,0,33,641,1,347,2
CODDOC0492,33,0,2,0,991,1,0,27,148,1,-1,0,0,0,33,991,1,148,1
CODDOC0498,34,2,2,0,4943,1,1,19,117,2,-1,0,0,0,34,4000,1,117,2
CODDOC0500,42,2,3,0,515,1,0,19,501,2,-1,0,0,0,42,515,1,500,2
CODDOC0501,32,2,3,0,12607,0,0,14,203,5,84,1,0,1,32,4000,1,203,5
CODDOC0502,58,1,2,0,2,1,1,25,282,9,-1,0,0,0,58,2,1,282,6
CODDOC0503,31,1,3,0,13,0,0,28,110,5,-1,0,0,0,31,13,1,110,5
CODDOC0504,19,2,1,0,103,0,0,10,104,2,-1,0,1,0,19,103,1,104,2
CODDOC0505,41,1,3,0,3872,0,0,15,231,1,-1,0,0,0,41,3872,1,231,1
CODDOC0506,31,1,2,0,296,1,0,20,378,3,-1,0,0,0,31,296,1,378,3
CODDOC0510,30,2,2,0,315,0,0,23,1407,1,-1,0,1,0,30,315,1,500,1
CODDOC0511,38,1,2,0,121,1,1,6,168,1,212,2,0,1,38,121,1,168,1
CODDOC0513,52,1,2,0,195,1,0,18,220,1,63,5,1,1,52,195,1,220,1
CODDOC0517,34,1,3,0,691,1,1,2,70,1,-1,0,0,0,34,691,1,70,1
CODDOC0521,54,1,2,0,0,0,0,19,220,1,-1,0,0,0,54,0,1,220,1
CODDOC0523,43,0,2,0,738,1,0,21,585,4,191,4,0,1,43,738,1,500,4
CODDOC0527,27,1,2,0,1033,1,0,9,1713,1,-1,0,0,0,27,1033,1,500,1
CODDOC0532,58,1,1,0,76,1,0,18,54,4,-1,0,0,0,58,76,1,54,4
CODDOC0538,26,2,2,0,63,0,0,28,76,4,-1,0,0,0,26,63,1,76,4
CODDOC0539,40,1,3,0,0,0,0,19,44,1,-1,0,0,0,40,0,1,44,1
CODDOC0544,48,1,2,0,157,1,0,6,73,1,-1,0,0,0,48,157,1,73,1
CODDOC0545,49,1,2,0,2465,0,0,20,157,3,-1,0,0,0,49,2465,1,157,3
CODDOC0546,35,1,1,0,0,1,0,24,90,6,-1,0,0,0,35,0,1,90,6
CODDOC0550,28,2,2,0,378,1,0,17,346,1,-1,0,0,0,28,378,1,346,1
CODDOC0553,63,1,2,0,2747,0,0,11,113,1,80,1,0,1,63,2747,1,113,1
CODDOC0554,42,1,3,0,1932,1,0,16,192,32,-1,0,0,0,42,1932,1,192,6
CODDOC0558,43,2,3,0,1304,0,0,6,501,2,-1,0,1,0,43,1304,1,500,2
CODDOC0560,47,0,2,0,2914,1,0,18,405,13,-1,0,0,0,47,2914,1,405,6
CODDOC0565,35,1,2,0,-339,1,0,8,389,2,-1,0,0,0,35,-339,1,389,2
CODDOC0567,26,2,3,0,211,0,0,29,168,3,-1,0,0,0,26,211,1,168,3
CODDOC0568,36,0,3,0,3611,1,0,4,347,3,-1,0,0,0,36,3611,1,347,3
CODDOC0569,59,1,1,0,0,0,0,30,3025,2,-1,0,0,0,59,0,1,500,2
CODDOC0571,46,1,0,0,242,1,0,9,332,2,-1,0,0,0,46,242,1,332,2
CODDOC0573,53,1,3,0,1319,1,0,16,427,1,150,1,0,1,53,1319,1,427,1
CODDOC0575,35,0,2,0,67,1,0,5,192,2,-1,0,0,0,35,67,1,192,2
CODDOC0577,44,1,2,0,0,1,1,11,161,1,-1,0,0,0,44,0,1,161,1
CODDOC0579,49,1,2,0,171,0,0,4,19,3,175,2,0,1,49,171,1,19,3
CODDOC0580,33,2,3,0,696,0,1,5,193,1,176,8,0,1,33,696,1,193,1
CODDOC0583,31,1,2,0,236,1,1,4,211,3,-1,0,0,0,31,236,1,211,3
CODDOC0584,33,2,3,0,-53,0,0,29,617,2,-1,0,0,0,33,-53,1,500,2
CODDOC0585,52,1,2,0,192,1,0,23,61,2,-1,0,0,0,52,192,1,61,2
CODDOC0586,43,0,3,0,38,1,0,25,197,6,-1,0,0,0,43,38,1,197,6
CODDOC0588,36,1,3,0,16,1,1,18,95,4,-1,0,0,0,36,16,1,95,4
